iter	Passed	Remaining
0	923	237363
1	1058	135466
2	1843	156701
3	2514	159680
4	3139	158863
5	3740	157083
6	4485	160839
7	5060	158135
8	5751	159120
9	6366	157899
10	7116	159800
11	7777	159430
12	8486	159939
13	9125	159036
14	9774	158341
15	10384	157069
16	11116	157585
17	11737	156503
18	12460	156734
19	13054	155347
20	13886	156715
21	14603	156661
22	15344	156782
23	16061	156595
24	17020	158626
25	17803	158860
26	18560	158792
27	19254	158165
28	20094	158674
29	20880	158694
30	21643	158487
31	22812	161110
32	23865	162717
33	25187	165944
34	26351	167896
35	27511	169656
36	28708	171475
37	29949	173391
38	31028	174237
39	32259	175812
40	33455	177069
41	35385	181984
42	37509	187549
43	39529	192258
44	41137	194717
45	42248	194712
46	43327	194512
47	44557	194936
48	44746	190859
49	45841	190699
50	47499	192793
51	48086	190498
52	49629	191964
53	50715	191593
54	51774	191095
55	52531	189489
56	52634	185607
57	53939	185998
58	54817	184894
59	55629	183577
60	56440	182275
61	57108	180537
62	57866	179109
63	58645	177767
64	59431	176466
